cover,pages,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
Hardcover,40,1964,4.25,10454,5257,3059,1718,332,88,1
Hardcover,32,2011,4.36,10285,5694,2939,1338,245,69,1
Paperback,32,2006,4.11,10215,4513,3032,2076,456,138,1
Paperback,184,2008,4.359999999999999,10121,5493,3078,1280,204,66,1
Paperback,128,1999,4.37,10107,5487,3135,1249,164,72,1
Paperback,32,1994,4.17,10098,4805,2853,1908,418,114,1
Hardcover,64,2004,4.03,10060,3441,3922,2302,334,61,1
Hardcover,46,1967,4.33,10034,5722,2410,1513,292,97,1
Paperback,62,2002,4.2,9982,4451,3430,1765,295,41,1
Paperback,200,2003,4.09,9945,4910,2173,1930,667,265,1
Hardcover,40,2008,4.16,9930,4728,2768,1891,404,139,1
Paperback,116,2007,4.3,9930,5044,3165,1434,229,58,1
Hardcover,32,2006,4,9845,3981,2815,2335,525,189,0
Hardcover,32,2005,4.119999999999999,9804,4305,2978,1967,453,101,1
Paperback,32,1994,4.05,9750,4281,2631,2099,559,180,1
Paperback,130,2004,4.470000000000001,9746,5965,2629,943,160,49,1
Paperback,144,2005,3.67,9700,2878,2330,3143,1088,261,0
Hardcover,352,1997,4.2,9695,4804,2575,1844,367,105,1
Paperback,279,1985,4.23,9692,4850,2935,1407,332,168,1
Hardcover,32,2001,4.11,9688,4318,2912,1821,474,163,1
Hardcover,62,1997,4.01,9688,3280,3683,2353,319,53,1
Paperback,212,2001,4,9656,3614,3246,2175,445,176,0
Paperback,64,1993,4.02,9585,3365,3505,2270,399,46,1
Hardcover,32,2001,4.4,9456,5385,2784,1015,199,73,1
Paperback,240,1995,4.04,9378,3692,3116,1970,475,125,1
Paperback,62,2002,3.9,9372,2895,3348,2518,536,75,0
Paperback,32,1976,4.25,9362,4699,2693,1674,238,58,1
Paperback,208,1991,4.02,9340,3501,3211,2083,416,129,1
Paperback,244,2010,3.94,9293,3207,3143,2254,524,165,0
Hardcover,40,2004,4.15,9282,4642,2192,1789,502,157,1
Board Book,30,1999,4.12,9270,4315,2512,1795,507,141,1
Paperback,48,1991,4.28,9236,5039,2409,1318,306,164,1
